Template_ID|Template|Question_ID|Placeholders|Num_Answers|Answer|All_Answers|p1|p2|p3|p4|p5|p6|p7|p8|Reference
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|1|3|2|FALSE|TRUE; FALSE|J. Robert Oppenheimer|Marie Curie|nuclear fusion theory||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|2|3|2|TRUE|TRUE; FALSE|Albert Einstein|Niels Bohr|the implications of quantum mechanics||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|3|3|2|TRUE|TRUE; FALSE|Cleopatra VII|Julius Caesar|the governance of Egypt under Roman influence||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|4|3|2|FALSE|TRUE; FALSE|Leonardo da Vinci|Isaac Newton|the laws of motion||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|5|3|2|FALSE|TRUE; FALSE|George Washington|Abraham Lincoln|the preservation of the Union||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|6|3|2|FALSE|TRUE; FALSE|Karl Marx|Charles Darwin|the theory of evolution and social change||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|7|3|2|TRUE|TRUE; FALSE|Winston Churchill|Franklin D. Roosevelt|strategies for defeating Nazi Germany||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|8|3|2|FALSE|TRUE; FALSE|Marie Curie|Rosalind Franklin|X-ray diffraction and molecular structure||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|9|3|2|FALSE|TRUE; FALSE|Mahatma Gandhi|Martin Luther King Jr.|nonviolent resistance||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|10|3|2|TRUE|TRUE; FALSE|Napoleon Bonaparte|Tsar Alexander I|a treaty between France and Russia||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|11|3|2|FALSE|TRUE; FALSE|Neil Armstrong|Yuri Gagarin|the future of human space exploration||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|12|3|2|TRUE|TRUE; FALSE|Sigmund Freud|Carl Jung|dreams||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|13|3|2|FALSE|TRUE; FALSE|Johann Sebastian Bach|Wolfgang Amadeus Mozart|composition||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|14|3|2|TRUE|TRUE; FALSE|Nelson Mandela|Fidel Castro|politics and liberation movements||||||
1|[p1] and [p2] met at a restaurant over tea and discussed [p3]. Verify the claim.|15|3|2|FALSE|TRUE; FALSE|Ada Lovelace|Alan Turing|computer algorithms||||||
3|In year [p1], [p2] occurred. What happened next?|16|2|4|A|Spain began colonizing the Caribbean; The British founded Jamestown; France attacked Spain; The Vikings returned to Iceland|1492|Christopher Columbus landed in the Americas|||||||
3|In year [p1], [p2] occurred. What happened next?|17|2|4|C|The Spanish Inquisition ended; Napoleon invaded Germany; The Protestant Reformation began; The Renaissance began|1517|Martin Luther published his 95 Theses|||||||
3|In year [p1], [p2] occurred. What happened next?|18|2|4|B|France attacked Spain; England’s naval dominance expanded; Spain conquered England; The Vikings invaded again|1588|The Spanish Armada attempted to invade England|||||||
3|In year [p1], [p2] occurred. What happened next?|19|2|4|D|The U.S. joined the UN; The French Revolution started; The Civil War began; The Revolutionary War intensified|1776|The American Declaration of Independence was signed|||||||
3|In year [p1], [p2] occurred. What happened next?|20|2|4|D|France colonized India; Napoleon crowned himself emperor; The Industrial Revolution began; King Louis XVI was executed|1789|The French Revolution began in Paris|||||||
3|In year [p1], [p2] occurred. What happened next?|21|2|4|A|He was exiled to Saint Helena; The Congress of Vienna dissolved; He became King of France; The U.S. declared war on Britain|1815|Napoleon was defeated at Waterloo|||||||
3|In year [p1], [p2] occurred. What happened next?|22|2|4|B|Lincoln resigned; The Emancipation Proclamation was issued; The Great Depression occurred; The U.S. entered World War I|1861|The U.S. Civil War began|||||||
3|In year [p1], [p2] occurred. What happened next?|23|2|4|B|The League of Nations was founded; The assassination of Archduke Franz Ferdinand sparked alliances into war; Germany surrendered immediately; World War II started|1914|World War I began|||||||
3|In year [p1], [p2] occurred. What happened next?|24|2|4|A|The Bolsheviks took power under Lenin; The Cold War began; Stalin was exiled; Russia joined NATO|1917|The Russian Revolution overthrew the Tsar|||||||
3|In year [p1], [p2] occurred. What happened next?|25|2|4|B|The Roaring Twenties began; The Great Depression spread globally; World War II ended; The U.S. entered World War I|1929|The Wall Street Crash occurred|||||||
3|In year [p1], [p2] occurred. What happened next?|26|2|4|B|The Berlin Wall was built; Britain and France declared war on Germany; The U.S. dropped the atomic bomb; Hitler was overthrown|1939|Germany invaded Poland|||||||
3|In year [p1], [p2] occurred. What happened next?|27|2|4|B|Germany colonized Africa; The United Nations was established; The Cold War ended; The Vietnam War started|1945|World War II ended|||||||
3|In year [p1], [p2] occurred. What happened next?|28|2|4|C|Sputnik was launched; The Cold War ended; The Apollo missions continued; The Berlin Wall fell|1969|Neil Armstrong landed on the Moon|||||||
3|In year [p1], [p2] occurred. What happened next?|29|2|4|C|NATO dissolved; The Soviet Union invaded Poland; Germany was reunified; World War III began|1989|The Berlin Wall fell|||||||
3|In year [p1], [p2] occurred. What happened next?|30|2|4|B|The Cold War resumed; The U.S. launched the War on Terror; The EU collapsed; The UN disbanded|2001|The September 11 attacks occurred in the United States|||||||
15|[p1] directly led to [p2]. Verify the claim.|31|2|2|TRUE|TRUE; FALSE|The assassination of Archduke Franz Ferdinand|The beginning of World War I|||||||
15|[p1] directly led to [p2]. Verify the claim.|32|2|2|TRUE|TRUE; FALSE|The invention of the steam engine|The Industrial Revolution|||||||
15|[p1] directly led to [p2]. Verify the claim.|33|2|2|TRUE|TRUE; FALSE|The stock market crash of 1929|The start of the Great Depression|||||||
15|[p1] directly led to [p2]. Verify the claim.|34|2|2|FALSE|TRUE; FALSE|The discovery of penicillin|The abolition of slavery in the United States|||||||
15|[p1] directly led to [p2]. Verify the claim.|35|2|2|TRUE|TRUE; FALSE|The attack on Pearl Harbor|The United States entering World War II|||||||
15|[p1] directly led to [p2]. Verify the claim.|36|2|2|TRUE|TRUE; FALSE|The Black Death in Europe|Major social and economic changes in the 14th century|||||||
15|[p1] directly led to [p2]. Verify the claim.|37|2|2|FALSE|TRUE; FALSE|The Suez Crisis of 1956|The fall of the Berlin Wall|||||||
15|[p1] directly led to [p2]. Verify the claim.|38|2|2|TRUE|TRUE; FALSE|The French Revolution|The rise of Napoleon Bonaparte|||||||
15|[p1] directly led to [p2]. Verify the claim.|39|2|2|FALSE|TRUE; FALSE|The completion of the transcontinental railroad in the US|The discovery of electricity|||||||
15|[p1] directly led to [p2]. Verify the claim.|40|2|2|TRUE|TRUE; FALSE|The Treaty of Versailles|The outbreak of World War II|||||||
15|[p1] directly led to [p2]. Verify the claim.|41|2|2|FALSE|TRUE; FALSE|The Mongol invasions|The formation of the United Nations|||||||
15|[p1] directly led to [p2]. Verify the claim.|42|2|2|TRUE|TRUE; FALSE|The Protestant Reformation|The Catholic Counter-Reformation|||||||
15|[p1] directly led to [p2]. Verify the claim.|43|2|2|TRUE|TRUE; FALSE|The Boston Tea Party|The American Revolutionary War|||||||
15|[p1] directly led to [p2]. Verify the claim.|44|2|2|FALSE|TRUE; FALSE|The eruption of Mount Vesuvius|The fall of the Roman Empire|||||||
15|[p1] directly led to [p2]. Verify the claim.|45|2|2|FALSE|TRUE; FALSE|The founding of Jamestown|The adoption of the U.S. Constitution|||||||
15|[p1] directly led to [p2]. Verify the claim.|46|2|2|TRUE|TRUE; FALSE|The invention of the printing press|Increased literacy in Europe|||||||
15|[p1] directly led to [p2]. Verify the claim.|47|2|2|TRUE|TRUE; FALSE|The dissolution of the Soviet Union|The independence of Ukraine|||||||
15|[p1] directly led to [p2]. Verify the claim.|48|2|2|FALSE|TRUE; FALSE|The Louisiana Purchase|The Civil War in the United States|||||||
15|[p1] directly led to [p2]. Verify the claim.|49|2|2|TRUE|TRUE; FALSE|The fall of Constantinople|The Age of Exploration|||||||
15|[p1] directly led to [p2]. Verify the claim.|50|2|2|FALSE|TRUE; FALSE|The Hundred Years' War|The Renaissance|||||||
15|[p1] directly led to [p2]. Verify the claim.|51|2|2|TRUE|TRUE; FALSE|The Glorious Revolution|A constitutional monarchy in England|||||||
15|[p1] directly led to [p2]. Verify the claim.|52|2|2|TRUE|TRUE; FALSE|The Opium Wars|The Treaty of Nanking|||||||
15|[p1] directly led to [p2]. Verify the claim.|53|2|2|TRUE|TRUE; FALSE|The discovery of gold in California|The California Gold Rush|||||||
15|[p1] directly led to [p2]. Verify the claim.|54|2|2|FALSE|TRUE; FALSE|The invention of the telegraph|The invention of radio communication|||||||
15|[p1] directly led to [p2]. Verify the claim.|55|2|2|TRUE|TRUE; FALSE|The Meiji Restoration|The industrialization of Japan|||||||
17|Were [p1] and [p2] happening at the same time?|56|2|2|FALSE|TRUE; FALSE|American Revolutionary War|French Revolution|||||||
17|Were [p1] and [p2] happening at the same time?|57|2|2|TRUE|TRUE; FALSE|Reign of Queen Victoria|American Civil War|||||||
17|Were [p1] and [p2] happening at the same time?|58|2|2|FALSE|TRUE; FALSE|Fall of Constantinople|Discovery of America by Columbus|||||||
